ejercicio;inciso;principal;parcial;descripcion
2014;1;11;111;Retribución del cargo
2014;1;11;114;Sueldo anual complementario
2014;1;11;116;Contribuciones patronales
2014;1;11;117;Complementos
2014;1;11;113;Retribuciones que no hacen al cargo
2014;1;11;;Personal permanente
2014;1;12;121;Retribución del cargo
2014;1;12;124;Sueldo anual complementario
2014;1;12;126;Contribuciones patronales
2014;1;12;127;Complementos
2014;1;12;;Personal temporario
2014;1;14;141;Personal Permanente
2014;1;14;143; Personal de Planta de Gabinete
2014;1;14;142;Personal Temporario
2014;1;14;;Asignaciones familiares
2014;1;16;169;Beneficios y compensaciones sin discriminar
2014;1;16;161;Retiro voluntario
2014;1;16;;Beneficios y compensaciones
2014;1;13;131;Retribuciones extraordinarias
2014;1;13;133;Contribuciones patronales
2014;1;13;132;Sueldo anual complementario
2014;1;13;;Servicios extraordinarios
2014;1;17;171;Retribución del cargo
2014;1;17;174;Sueldo anual complementario
2014;1;17;176;Contribuciones patronales
2014;1;17;177;Complementos
2014;1;17;;Gabinete de autoridades superiores
2014;1;15;151;Seguros de Riesgo de trabajo
2014;1;15;159;Asistencia social sin discriminar
2014;1;15;;Asistencia social al personal
2014;1;18;186;Contribuciones patronales
2014;1;18;181;Retribución del servicio
2014;1;18;184;Sueldo Anual Complementario
2014;1;18;187;Complementos
2014;1;18;;Contratos por Tiempo Determinado
2014;1;;;Gastos en personal
2014;2;21;211;Alimentos para personas
2014;2;21;215;Madera, corcho y sus manufacturas
2014;2;21;214;Productos agroforestales
2014;2;21;219;Otros no especificados precedentemente
2014;2;21;212;Alimentos para animales
2014;2;21;213;Productos pecuarios
2014;2;21;;Productos alimenticios, agropecuarios y forestales
2014;2;22;222;Prendas de vestir
2014;2;22;223;Confecciones textiles
2014;2;22;221;Hilados y telas
2014;2;22;229;Otros no especificados precedentemente
2014;2;22;;Textiles y vestuario
2014;2;23;231;Papel y cartón para oficina
2014;2;23;232;Papel y cartón para computación
2014;2;23;234;Manufactura de pulpa, papel y cartíon
2014;2;23;235;Libros, revistas y periódicos
2014;2;23;233;Productos de artes gráficas
2014;2;23;239;Otros no especificados precedentemente
2014;2;23;236;Textos de enseñanza
2014;2;23;237;Especies timbradas y valores
2014;2;23;;Pulpa,papel, cartón y sus productos
2014;2;25;255;Tintas, pinturas y colorantes
2014;2;25;256;Combustibles y lubricantes
2014;2;25;258;Productos de material plástico
2014;2;25;252;Productos farmacéuticos y medicinales
2014;2;25;259;Otros no especificados precedentemente
2014;2;25;253;Abonos y fertilizantes
2014;2;25;251;Compuestos químicos
2014;2;25;254;insecticidas, fumigantes y otros
2014;2;25;257;Asfaltos y Similares
2014;2;25;;Productos químicos, combustibles y lubricantes
2014;2;26;262;Productos de vidrio
2014;2;26;269;Otros no especificados precedentemente
2014;2;26;261;Productos de arcilla y cerámica
2014;2;26;265;Cemento, cal y yeso
2014;2;26;263;Productos de loza y porcelana
2014;2;26;264;Productos elaborados de cemento y yeso
2014;2;26;;Productos de minerales no metálicos
2014;2;27;279;Otros no especificados precedentemente
2014;2;27;272;Productos no ferrosos
2014;2;27;274;Estructuras metálicas acabadas
2014;2;27;271;Productos ferrosos
2014;2;27;273;Material de guerra
2014;2;27;275;Herramientas menores
2014;2;27;;Productos metálicos
2014;2;28;282;Petróleo crudo y gas natural
2014;2;28;284;Piedra, arcilla y arena
2014;2;28;289;Otros no especificados precedentemente
2014;2;28;283;Carbón mineral
2014;2;28;281;Minerales metalíferos
2014;2;28;;Minerales
2014;2;29;291;Elementos de limpieza
2014;2;29;292;Útiles de escritorio, oficina y enseñanza
2014;2;29;293;Útiles y materiales eléctricos
2014;2;29;296;Repuestos y accesorios
2014;2;29;297;Herramientas menores
2014;2;29;299;Otros no especificados precedentemente
2014;2;29;294;Utensilios de cocina y comedor
2014;2;29;295;Útiles menores médicos, quirúrgicos y de laboratorio
2014;2;29;;Otros bienes de consumo
2014;2;24;249;Otros no especificados precedentemente
2014;2;24;244;Cubiertas y cámaras de aire
2014;2;24;241;Cueros y pieles
2014;2;24;242;Artículos de cuero
2014;2;24;243;Artículos de caucho
2014;2;24;;Productos de cuero y caucho
2014;2;;;Bienes de consumo
2014;3;31;311;Energía eléctrica
2014;3;31;312;Agua
2014;3;31;313;Gas
2014;3;31;314;Teléfonos, telex y telefax
2014;3;31;319;Otros no especificados precedentemente
2014;3;31;315;Correos y Telégrafo
2014;3;31;318;Internet banda ancha
2014;3;31;;Servicios básicos
2014;3;32;321;Alquiler de edificios y locales
2014;3;32;322;Alquiler de maquinaria, equipo y medios de transporte
2014;3;32;324;Alquiler de fotocopiadoras
2014;3;32;329;Otros no especificados precedentemente
2014;3;32;323;Alquiler de equipos de computación
2014;3;32;326;Derechos de bienes intangibles
2014;3;32;;Alquileres y derechos
2014;3;33;331;Mantenimiento y reparación de edificios y locales
2014;3;33;332;Mantenimiento y reparación de vehículos
2014;3;33;333;Mantenimiento y reparación de maquinaria y equipo
2014;3;33;335;Limpieza, aseo y fumigación
2014;3;33;339;Otros no especificados precedentemente
2014;3;33;334;Mantenimiento y reparación de vías de comunicación
2014;3;33;338;Higiene urbana
2014;3;33;336;Mantenimiento de espacios verdes
2014;3;33;;Mantenimiento, reparación y limpieza
2014;3;34;345;De capacitación
2014;3;34;349;Otros no especificados precedentemente
2014;3;34;342;Médicos y sanitarios
2014;3;34;343;Jurídicos
2014;3;34;344;Contabilidad y auditoría
2014;3;34;346;De informática y sistemas computarizados
2014;3;34;341;Estudios, investigaciones y proyectos de factibilidad
2014;3;34;347;Artísticos y culturales
2014;3;34;;Servicios profesionales, técnicos y operativos
2014;3;35;351;Transporte y almacenamiento
2014;3;35;352;Servicios Especializados
2014;3;35;354;Primas y gastos de seguros
2014;3;35;355;Comisiones y gastos bancarios
2014;3;35;356;Sistemas informáticos y de registro
2014;3;35;358;Servicio de vigilancia
2014;3;35;359;Otros no especificados precedentemente
2014;3;35;353;Imprenta, publicaciones y reproducciones
2014;3;35;357;Serv.de acceso a Internet y streaming
2014;3;35;;Servicios Especializados, Comerciales y Financieros
2014;3;36;361;Publicidad y propaganda
2014;3;36;369;Otros no especificados precedentemente
2014;3;36;;Publicidad y propaganda
2014;3;37;371;Pasajes
2014;3;37;372;Viáticos
2014;3;37;379;Otros no especificados precedentemente
2014;3;37;378;Movilidad
2014;3;37;;Pasajes, viáticos y movilidad
2014;3;38;383;Derechos y tasas
2014;3;38;389;Otros no especificados precedentemente
2014;3;38;384;Multas y recargos
2014;3;38;382;Impuestos directos
2014;3;38;386;Juicios, mediaciones y otros gastos judiciales
2014;3;38;385;Regalías
2014;3;38;381;Impuestos indirectos
2014;3;38;;Impuestos, derechos,  tasas y juicios
2014;3;39;391;Servicios de ceremonial
2014;3;39;398;Premios y reconocimientos
2014;3;39;399;Otros no especificados precedentemente
2014;3;39;392;Servicios de comidas, viandas y refrigerios
2014;3;39;395;Convenios de AsistenciaTécnica
2014;3;39;396;Servicios de consultoria
2014;3;39;;Otros servicios
2014;3;;;Servicios no personales
2014;4;43;434;Equipo de comunicación y señalamiento
2014;4;43;435;Equipo educacional, cultural y recreativo
2014;4;43;436;Equipo para computación
