ejercicio;programa;subprograma;proyecto;descripcion
2014;16;160;1600;FORMAC.Y SANCION LEY
2014;16;160;1602;REP Y PUESTA EN VALO
2014;16;160;1603;MONUMENTO GENERAL PE
2014;16;160;1601;OBRAS EN  CONSEJO DE
2014;16;160;16060;Acumar
2014;16;160;;FORMAC.Y SANCION LEY
2014;16;161;1610;CENTRO DE FORM. JUD.
2014;16;161;;CENTRO DE FORM. JUD.
2014;16;162;1620;PLAN. Y GEST. POL. J
2014;16;162;;PLAN. Y GEST. POL. J
2014;16;;;FORMAC.Y SANCION LEY
2014;10;100;1000;ASESORIA GRAL.TUTELA
2014;10;100;1001;P. VALOR DE P. ROCA 
2014;10;100;1002;CAPACITACION
2014;10;100;10093;MANTENIMIENTO COMUNA
2014;10;100;;ASESORIA GRAL.TUTELA
2014;10;;;ASESORIA GRAL.TUTELA
2014;19;190;1900;CONTENIDOS
2014;19;190;19060; ACUMAR
2014;19;190;;CONTENIDOS
2014;19;;;CONTENIDOS
2014;20;200;2000;MIN.PUBLICO DE LA DE
2014;20;200;2001;READ. SEDES MINIS. PUBLI. DEFE
2014;20;200;;MIN.PUBLICO DE LA DE
2014;20;;;MIN.PUBLICO DE LA DE
2014;30;300;3000;MINISTERIO PUBLICO F
2014;30;300;;MINISTERIO PUBLICO F
2014;30;301;3010;ACCESO A LA JUSTICIA
2014;30;301;;ACCESO A LA JUSTICIA
2014;30;302;3020;INV. Y RES. P, CONTR
2014;30;302;;INV. Y RES. P, CONTR
2014;30;303;3030;DEFENSA DE LA LEGALI
2014;30;303;;DEFENSA DE LA LEGALI
2014;30;;;MINISTERIO PUBLICO F
2014;84;8418;84180;HOSP. FERNÁNDEZ
2014;84;8418;841865;PUE. EN VALOR H J. A
2014;84;8418;;HOSP. FERNÁNDEZ
2014;84;8427;84270;HOSP. PIROVANO
2014;84;8427;842765;PUE. EN VALOR I. PIR
2014;84;8427;;HOSP. PIROVANO
2014;84;840;8400;PROYECTOS DE ARQUITE
2014;84;840;8401;ESTUDIOS DE URBANISM
2014;84;840;;PROYECTOS DE ARQUITE
2014;84;8420;84200;HOSP. DE NIÑOS GUTIÉ
2014;84;8420;842065;PUE. EN VALOR H R GU
2014;84;8420;;HOSP. DE NIÑOS GUTIÉ
2014;84;8424;84240;HOSP. DE ODONT. CARR
2014;84;8424;842465;PTA EN VALOR ODONTOL
2014;84;8424;;HOSP. DE ODONT. CARR
2014;84;8431;84310;HOSP. RIVADAVIA
2014;84;8431;843165;PUE. EN VALOR H B. R
2014;84;8431;;HOSP. RIVADAVIA
2014;84;8446;84460;INST. DE REHAB. PSIC
2014;84;8446;844665;PUE. EN VALOR INST. 
2014;84;8446;;INST. DE REHAB. PSIC
2014;84;;;ATEN.MÉDICA REG.SANI
2014;40;400;4000;COMIS.CONJ.DE ADM.MI
2014;40;400;40074;ADE. MEJORAS Y MANT.
2014;40;400;40075;PTA EN VALOR, REF. R
2014;40;400;40081;CENOTAFIO CEMENTERIO
2014;40;400;;COMIS.CONJ.DE ADM.MI
2014;40;;;COMIS.CONJ.DE ADM.MI
2014;1;10;100;ACTIVIDADES CENTRALE
2014;1;10;101; OBRAS EN EDIFICIO T
2014;1;10;102;PLAN DE EQUIP. HOSPI
2014;1;10;1060;ACUMAR - PROSUR
2014;1;10;1084;MANTENIMIENTO COMUNA
2014;1;10;;ACTIVIDADES CENTRALE
2014;1;;;ACTIVIDADES CENTRALE
2014;2;20;200;TUTELA JUDICIAL
2014;2;20;201;PUESTA EN MARCHA NUEVO CENTRO
2014;2;20;203;MEJORAS EDILICIAS
2014;2;20;204;CONSTRUCCION DE PARA
2014;2;20;2085;MANTENIMIENTO COMUNA
2014;2;20;;TUTELA JUDICIAL
2014;2;;;TUTELA JUDICIAL
2014;17;170;1700;JUST.CONT.ADM.Y TRIB
2014;17;170;1701;ADQ.Y PUESTA EN FUNC
2014;17;170;1702;REPARACION EDILICIA 
2014;17;170;;JUST.CONT.ADM.Y TRIB
2014;17;;;JUST.CONT.ADM.Y TRIB
2014;18;180;1800;JUST.PENAL,CONTRAV.Y
2014;18;180;1801;NODO OBELISCO
2014;18;180;1802;CONST.PTA.SERVIC.LIN
2014;18;180;;JUST.PENAL,CONTRAV.Y
2014;18;;;JUST.PENAL,CONTRAV.Y
2014;83;8321;83210;HOSP. LAGLEYZE
2014;83;8321;832165;PUE. EN VALOR H P. L
2014;83;8321;;HOSP. LAGLEYZE
2014;83;8332;83320;HOSP. REHAB. ROCCA
2014;83;8332;833265;PUE. EN VALOR H M. R
2014;83;8332;;HOSP. REHAB. ROCCA
2014;83;8338;83380;HOSP. TORNÚ
2014;83;8338;833865;PUE. EN VALOR H E. T
2014;83;8338;;HOSP. TORNÚ
2014;83;8316;83160;HOSP. DURAND
2014;83;8316;831665;PUE. EN VALOR H A. G
2014;83;8316;;HOSP. DURAND
2014;83;8314;83140;HOSP. ONCOLOGÍA CURI
2014;83;8314;831465;PUE. EN VALOR H M. C
2014;83;8314;;HOSP. ONCOLOGÍA CURI
2014;83;8315;83150;HOSP. ODONTOLÓGICO D
2014;83;8315;831565;PUE. EN VALOR H ODON
2014;83;8315;;HOSP. ODONTOLÓGICO D
2014;83;8328;83280;HOSPITAL DE QUEMADOS
2014;83;8328;832865;PUE. EN VALOR H DE Q
2014;83;8328;;HOSPITAL DE QUEMADOS
2014;83;8340;83400;HOSP. VÉLEZ SARSFIEL
2014;83;8340;834065;PUE. EN VALOR H D. V
2014;83;8340;;HOSP. VÉLEZ SARSFIEL
2014;83;8341;83410;HOSP. ZUBIZARRETA
2014;83;8341;834165;PUE. EN VALOR H A. Z
2014;83;8341;;HOSP. ZUBIZARRETA
2014;83;830;8300;ATEN. MÉDICA REG.SAN
2014;83;830;;ATEN. MÉDICA REG.SAN
2014;83;;;ATEN. MÉDICA REG.SAN
2014;11;110;1100;ASUNTOS PATRIMONIALE
2014;11;110;1101;CENTROS VERDES
2014;11;110;11060;A.CU.MAR - CENTROS VERDES
2014;11;110;1102;REACONDICIONAMIENTO 
2014;11;110;1103;INFRAESTRUCTUTA ZOOLÓGICO
2014;11;110;11094;MANTENIMIENTO COMUNA
