ejercicio;jurisdiccion;servicio;unidad_ejecutora;descripcion
2015;40;4040;4040439;HTAL. BONORINO UDAONDO
2015;40;4040;4040440;HTAL. D. VELEZ SARSFIELD
2015;40;4040;4040441;HTAL. ABEL ZUBIZARRETA
2015;40;4040;4040449;DIR.GRAL.ADJ. SAME
2015;40;4040;4040443;CENTRO DE SALUD AMEGHINO
2015;40;4040;4040445;INSTITUTO PASTEUR
2015;40;4040;4040446;INST.DE REHAB.PSICOFICA
2015;40;4040;4040450;CTRO.DE SALUD Nº 1 H.ROSARIO
2015;40;4040;4040455;CAI C GRIERSON
2015;40;4040;4040551;SS.DE ATEN.INTEG.SALUD
2015;40;4040;4040552;SS. ADMINIST. DEL SIST.  SALUD
2015;40;4040;4040554;SUBS.PLANIF.SANIT
2015;40;4040;4040414;HTAL. MARIA CURIE
2015;40;4040;4040415;HTAL. ODONT.JOSE DUEÑAS
2015;40;4040;4040416;HTAL. CARLOS G. DURAND
2015;40;4040;4040418;HTAL. JUAN A. FERNANDEZ
2015;40;4040;4040419;HTAL. MARIA FERRER
2015;40;4040;4040420;HTAL. RICARDO GUTIERREZ
2015;40;4040;4040401;MINISTERIO DE SALUD
2015;40;4040;4040422;HTAL. BRAULIO MOYANO
2015;40;4040;4040410;HTAL.TEODORO ALVAREZ
2015;40;4040;4040412;HTAL. COSME ARGERICH
2015;40;4040;4040404;DIR.GRAL.DE RECURSOS FISICOS E
2015;40;4040;4040411;HTAL. TORCUATO DE ALVEAR
2015;40;4040;4040413;HTAL. JOSE T. BORDA
2015;40;4040;4040417;HTAL. PEDRO DE ELIZALDE
2015;40;4040;4040421;HTAL. PEDRO LAGLEYZE
2015;40;4040;4040423;HTAL. FRANCISCO J.MUÑIZ
2015;40;4040;4040424;HTAL. DE ODONTOLOGIA
2015;40;4040;4040425;HTAL. JOSE M. PENNA
2015;40;4040;4040426;HTAL. PARMENIO PIÑERO
2015;40;4040;4040427;HTAL. IGNACIO PIROVANO
2015;40;4040;4040428;HTAL. DE QUEMADOS
2015;40;4040;4040429;HTAL. ODONT.QUINQUELA MARTIN
2015;40;4040;4040430;HTAL. JOSE M.RAMOS MEJIA
2015;40;4040;4040431;HTAL. BERNARDINO RIVADAVIA
2015;40;4040;4040432;HTAL. MANUEL ROCCA
2015;40;4040;4040433;HTAL. SANTA LUCIA
2015;40;4040;4040434;HTAL.DONAC.F.SANTOJANNI
2015;40;4040;4040435;HTAL. RAMON SARDA
2015;40;4040;4040436;TALLERES PROT.DE REHAB.PSIQ.
2015;40;4040;4040437;HTAL. CAROLINA TOBAR GARCIA
2015;40;4040;4040438;HTAL. ENRIQUE TORNU
2015;40;4040;;MINIST. DE SALUD
2015;40;;;MINISTERIO DE SALUD
2015;50;50512;505129265;AGENCIA TURISMO
2015;50;50512;;AGENCIA TURISMO
2015;50;50513;50513541;EATC
2015;50;50513;;TEATRO COLON
2015;50;5050;5050500;MINISTERIO DE CULTURA
2015;50;5050;5050507;D.G.FESTIVALES Y EVENT CTRALES
2015;50;5050;5050511;DIR. GRAL DE PROMOCION CULTURA
2015;50;5050;5050512;DIR. GRAL DE ENSENANZA ARTISTI
2015;50;5050;5050513;DIR. GRAL DE MUSICA
2015;50;5050;5050514;DIRECCION PLANETARIO DE LA CIU
2015;50;5050;5050520;SUBSECRETARIA DE  PATRIMONIO C
2015;50;5050;5050521;DIR. GRAL DE PATR E INST HISTO
2015;50;5050;5050522;DIR. GRAL DE MUSEOS
2015;50;5050;5050523;DIR. GRAL DEL LIBRO Y PROMOCIO
2015;50;5050;5050524;DIR. GRAL DE INFR.Y MANT.EDILI
2015;50;5050;5050528;DIR. GRAL. CASCO HISTORICO
2015;50;5050;5050535;DIR. GRAL CENTRO CULTURAL RECO
2015;50;5050;5050537;D.G.RELINST Y COMUNI
2015;50;5050;5050542;DIR. GRAL COMPLEJO TEATRAL CIU
2015;50;5050;5050543;DIR. GRAL CENTRO CULTURAL GSM
2015;50;5050;5050753;SUBS.GESTION CULTURAL
2015;50;5050;5050759;SUBSECRETARIA DE TURISMO
2015;50;5050;;MINIST. DE CULTURA
2015;50;;;MINISTERIO DE CULTURA
2015;45;4545;4545460;MINIST. DESARR. SOCIAL
2015;45;4545;4545470;SS FORT. FLIAR Y COMUNIT.
2015;45;4545;4545474;SS TERCERA EDAD
2015;45;4545;4545476; DIR.GRAL.NIÑEZ Y ADOLES.
2015;45;4545;4545477;SS PROMOC. SOCIAL
2015;45;4545;4545478;DIR.G.SIST.ATENCION  INMEDIATA
2015;45;4545;4545482;DIR.GRAL.DE ECONOMIA SOCIAL
2015;45;4545;4545480;DIR.GRAL. MUJER
2015;45;4545;4545481;DIR.GRAL.DE CIUDADANIA PORTEÑA
2015;45;4545;4545483;DIR.GRAL.DE SERV.SOC.ZONALES
2015;45;4545;4545484;DIR.GRAL.FORTALEC.DE LA SOC.C.
2015;45;4545;4545485;UNIDAD COORD.POL.SOC.ADIC.
2015;45;4545;;M.DES. SOCIAL
2015;45;;;MINISTERIO DE DESARROLLO SOCIAL
2015;55;5555;5555550;MINISTERIO DE EDUCACION
2015;55;5555;5555556;PLANEAMIENTO EDUCATIVO
2015;55;5555;5555557;EVAL DE LA CALIDAD EDUCA
2015;55;5555;5555561;DIR. GRAL DE EDUC GEST ESTATAL
2015;55;5555;5555570;DIR. GRAL EDUCACION DE GESTION
2015;55;5555;5555573;DIR.GRAL.DE INFRAEST Y EQUIP
2015;55;5555;5555578;D.G.ADM.DE MANTENIMIENTO
2015;55;5555;5555580;Sub.Gestión Ed.y Coor
2015;55;5555;5555581;Dir.Gral. Tecnología Educativa
2015;55;5555;5555582;Dir.Gral. Servicios a las Esc.
2015;55;5555;5555583;DIR.GRAL.EDUC.SUPERIOR
2015;55;5555;5555584;SUBS.DE EQUIDAD EDUCATIVA
2015;55;5555;5555585;SUBS.POL.EDUC. Y CARRERA DOC.
2015;55;5555;5555672;SUBSEC.GEST ECO FINANC Y ADM R
2015;55;5555;;MINIST. DE EDUCACION
2015;55;;;MINISTERIO DE EDUCACION
2015;60;6060;6060601;MIN.Y SUBS.DE HACIENDA
2015;60;6060;6060609;DIRECCION GENERAL DE SEGUROS
2015;60;6060;6060613;DIR.GRAL.DE CONTADURIA
2015;60;6060;6060610;DIR GRAL MANT FLOTA AUTOM
2015;60;6060;6060611;DIR.GRAL.OFICINA DE GESTION PU
2015;60;6060;6060614;DIR.GRAL.DE TESORERIA
2015;60;6060;6060615;DIR.GRAL.DE CREDITO PUBLICO
2015;60;6060;6060618;D.G.Procesos Adm.
2015;60;6060;6060619;D.G.Red.de Precios
2015;60;6060;6060623;DIR.GRAL.DE COMPRAS Y CONTRAT.
2015;60;6060;6060638;DIR.GRAL.U.INFORMATICA ADM.FIN
2015;60;6060;6060817;D.GRAL RELACIONES FISCALES
2015;60;6060;;MIN. DE HACIENDA
2015;60;60601;606018796;INSTITUTO DE JUEGOS DE APUESTA
2015;60;60601;;INST. JUEGOS DE APUE
2015;60;60602;606028612;DIR.GRAL.ESTAD.Y CENSOS
2015;60;60602;606028618;AGIP
2015;60;60602;;ADM.GUB.INGR.PUBLICO
2015;60;;;MINISTERIO DE HACIENDA
2015;65;6565;6565108;CORPORACION DEL SUR S.E.
2015;65;6565;6565117;SECRETARIA DE HABITAT E INCLUS
2015;65;6565;6565171;COPINE
2015;65;6565;6565350;PARQUE DE LA CIUDAD
2015;65;6565;65658106;SUBSECRETARIA DE DEPORTES
2015;65;6565;6565616;DIR.GRAL.ADMINST. DE BIENES
2015;65;6565;6565650;MINIST DESARROLLO ECONOMICO
2015;65;6565;6565656;DIR. GRAL DE EMPLEO
2015;65;6565;6565655;DIR GRAL GEST ACT CIENTIF TECN
2015;65;6565;6565711;SUBSECRETARIA DETRABAJO
2015;65;6565;6565761;DIR.GRAL.PROTEC.DEL TRABAJO
2015;65;6565;6565790;SUBS. ECONOMIA CREATIVA
2015;65;6565;6565850;SOC.ADM.PUERTO
2015;65;6565;6565851;D.G.RELACIONES LABORALES
2015;65;6565;65652650;DIR GRAL COMERCIO EXTERIOR
2015;65;6565;65652656;DIR GRAL. INDUSTRIAS CREATIVAS
2015;65;6565;65652666;SUBSECRETARIA DE INVERSIONES
2015;65;6565;65658624;DG. CONCESIONES
2015;65;6565;65659470;UNIDAD GEST INTERV SOCIAL
2015;65;6565;;MIN. DESAR. ECON.
2015;65;65219;65219290;INSTITUTO VIVIENDA LEY 1251
2015;65;65219;;INSTITUTO VIVIENDA
2015;65;65217;652172191;CONS. ECO SOCIAL
2015;65;65217;;CONSEJO ECONOMICO Y 
2015;65;;;MINISTERIO DE DESARROLLO ECONOMICO
2015;68;6868;6868921;SSCI
2015;68;6868;6868608;INST. SUP. DE LA CARRERA ADM.
2015;68;6868;6868642;SUBS.GESTION DE RECURSOS HUMAN
2015;68;6868;6868918;MINISTERIO DE MODERNIZACION
2015;68;6868;6868919;SUB.GESTION PROY.MODER.
2015;68;6868;;Min.Modernización
2015;68;68270;68270683;D.G.INT.DE SISTEMAS
2015;68;68270;68270681;D.G.GOB.ELECTRÓNICO
2015;68;68270;68270682;D.G.DE INFRAESTRUCTURA
2015;68;68270;682708056;AGENCIA SIST INFORMACION
2015;68;68270;;AGENCIA SIST. INFORM
2015;68;;;MINISTERIO DE MODERNIZACION
2015;99;9999;9999640;MIN.DE HACIENDA - OBLIGACIONES
2015;99;9999;;OBLIG.CARGO TESORO
2015;99;;;OBLIGACIONES A CARGO DEL TESORO
2015;90;90900;909002200;D.G At.Vecinal
2015;90;90900;909002202;Dir.G.Def.Prot.Cons
2015;90;90900;909002203;D.G.PART.CIUDADANA
2015;90;90900;909002205;D.G.COORD.MANT.ESP
2015;90;90900;909002204;Sec.Gestión Com At Ciu
2015;90;90900;909008283;Sub.de Atención Ciudadana
2015;90;90900;909002206;D.G.O.Comunales
2015;90;90900;909002207;D.G.DESC.COMUNAL
2015;90;90900;909002208;D.G.SERV.DESCONC.Y MANT.EDILIC
2015;90;90900;909008284;D.G. Gest. de Calidad
2015;90;90900;909008285;Subs..Descent.y Part.Ciud
2015;90;90900;909008286;UAC
2015;90;90900;909008288;Sub.Esp. Pco.
2015;90;90900;;SEC. GESt.COM.
2015;90;90855;908559105;Comuna 5
2015;90;90855;;COMUNA 5
2015;90;90851;908519101;Comuna 1
2015;90;90851;;COMUNA 1
2015;90;90852;908529102;Comuna 2
2015;90;90852;;COMUNA 2
2015;90;90853;908539103;Comuna 3
2015;90;90853;;COMUNA 3
2015;90;90854;908549104;Comuna 4
2015;90;90854;;COMUNA 4
2015;90;90856;908569106;Comuna 6
2015;90;90856;;COMUNA 6
2015;90;90857;908579107;Comuna 7
2015;90;90857;;COMUNA 7
2015;90;90858;908589108;Comuna 8
2015;90;90858;;COMUNA 8
2015;90;90859;908599109;Comuna 9
2015;90;90859;;COMUNA 9
2015;90;90860;908609110;Comuna 10
2015;90;90860;;COMUNA 10
2015;90;90861;908619111;Comuna 11
2015;90;90861;;COMUNA 11
2015;90;90862;908629112;Comuna 12
2015;90;90862;;COMUNA 12
2015;90;90863;908639113;Comuna 13
2015;90;90863;;COMUNA 13
2015;90;90864;908649114;Comuna 14
2015;90;90864;;COMUNA 14
2015;90;90865;908659115;Comuna 15
2015;90;90865;;COMUNA 15
2015;90;;;SECRETARIA DE GESTION COMUNAL Y ATENC.CIUDADANA
2015;98;9898;9898641;MIN.HACIEN - SERVICIO DE DEUDA
2015;98;9898;;SERV. DEUDA PUBLICA
2015;98;;;SERVICIO DE LA DEUDA PUBLICA
2015;2;22;2220;AUDITORIA
2015;2;22;;AUDITORIA GENERAL CA
2015;2;;;AUDITORIA GENERAL DE LA CIUDAD DE BUENOS AIRES
2015;3;33;3330;DEFENSORIA DEL PUEBLO
2015;3;33;;DEFENSORIA DEL PUEBL
2015;3;;;DEFENSORIA DEL PUEBLO
2015;8;88;8881;SINDICATURA GENERAL
2015;8;88;;SINDICATURA GENERAL 
2015;8;;;SINDICATURA GENERAL DE LA CIUDAD DE BUENOS AIRES
2015;20;20210;20210112;CONS.DER.NIÑAS/OS, ADOLESC.
2015;20;20210;;CONS.N.N.ADOLES
2015;20;20215;20215113;ENTE REGULADOR SERV. PUB
2015;20;20215;;ENTE REG SERV PUBLIC
2015;20;20220;20220119;DIR.GRAL.DE CONTENIDOS
2015;20;20220;202202021;DIR.GRAL.PROT Y CEREM
2015;20;20220;20220102;SEC. GRAL.
2015;20;20220;20220936;D.GRAL.DE CULTOS
2015;20;20220;202202020;SUSEC.REL.INTER E INST
2015;20;20220;202202022;DIR.GRAL.REL.INTER COOP
2015;20;20220;202202025;SUBSEC. CONTENIDOS
2015;20;20220;202202026;DIR.GRAL.PLANIF.COMUNIC
2015;20;20220;202202027;UPE OP.PUBL.Y COMUN.
2015;20;20220;;SECRETARIA GENERAL
2015;20;2020;2020100;JEFE DE GOBIERNO
2015;20;2020;2020168;U.DE COORD.PLAN ESTRATEGICO
2015;20;2020;;JEFATURA DE GOBIERNO
2015;20;20254;202542500;LS1 Radio Cd y FM
2015;20;20254;20254214;SECRETARIA DE MEDIOS
2015;20;20254;20254215;DIR. GRAL. NUEVOS MEDIOS
2015;20;20254;20254216;DIR. GRAL. COORD. PRENSA
2015;20;20254;202542501;Señal Cable Cd.Ab.
2015;20;20254;;SECRETARIA DE MEDIOS
2015;20;20218;20218110;VICE JEFE DE GOBIERNO
2015;20;20218;20218121;SEC.DESARR.CIUDADANO
2015;20;20218;202182005;DIR. GRAL POL. JUV
2015;20;20218;202182006;DIR.DESARR.SALUDABLE
2015;20;20218;;VICEJEFATURA DE GOB.
2015;20;20230;20230106;SEC.DE COMUN SOCIAL
2015;20;20230;;SECR.COMUNIC.SOCIAL
2015;20;20240;20240101;SEC. LEGAL Y TECNICA
2015;20;20240;20240118;DIR. GRAL. ESCCRIBANIA GRAL.
2015;20;20240;20240146;DIR.GRAL.MESA DE ESYA
2015;20;20240;;SECR.LEGAL Y TEC.
2015;20;;;JEFATURA DE GOBIERNO
2015;26;26261;262618262;AGENCIA GUBERN CTROL
2015;26;26261;262618270;HAB Y PERMISOS
2015;26;26261;262618341;DG FISCAL Y CTROL
2015;26;26261;262618652;DG HIG. Y SEG.ALIMENTARIA
2015;26;26261;262618370;DIR.GRAL.FISCALIZ.O.CATASTRO
2015;26;26261;;AGCIA GUBERN CTROL
2015;26;26264;26264869;INST.SUP.DE SEG.PUBLICA
2015;26;26264;;INST.SUP.SEG.PUB
2015;26;26290;26290868;DGAYL POL. METROPOL.
2015;26;26290;26290871;POL.METROPOLITANA
2015;26;26290;;PLAN DE SEG. PUB.
2015;26;2626;2626793;D.G.JUSTICIA, REG.Y MEDIACION
2015;26;2626;2626677;Dir.Gral.Logística
2015;26;2626;2626151;DIR.GRAL.CUSTODIA Y SEG.BIENES
2015;26;2626;2626152;DIR.GRAL.GUARDIA DE AUX.Y EMER
2015;26;2626;2626728;D.GRAL. SEGURIDAD PRIVADA
2015;26;2626;2626153;DIR.GRAL.DE DEFENSA CIVIL
2015;26;2626;2626278;DIR.GRAL.DE POL DE SEGURIDAD
2015;26;2626;2626282;MINISTERIO DE JUSTICIA Y SEGUR
2015;26;2626;2626763;SUBS.DE JUSTICIA
2015;26;2626;2626678;SUBSECRETARIA DE EMERGENCIAS
2015;26;2626;2626799;D.GRAL.ELECTORAL
2015;26;2626;2626866;D.GRAL.ADMINISTR.DE INFRACCION
2015;26;2626;26262183;Subs.Seg.Ciudadana
2015;26;2626;26262184;Subs.Prev.Delito y Rel.Com
2015;26;2626;;MIN. DE JUST. SEGUR.
2015;26;;;MINISTERIO DE JUSTICIA Y SEGURIDAD
2015;35;35351;353518811;EMUI
2015;35;35351;;ENT.MANT.URB.INT.
2015;35;35352;353528736;EHU
2015;35;35352;;ENTE DE HIGIENE URBA
2015;35;35933;359338933;AGENCIA AMBIENTAL
2015;35;35933;359338934;D.G.DE CONTROL
2015;35;35933;359338935;DIREC.GRAL.DE EVALUAC.TECNICA
2015;35;35933;359338939;D G ESTRATEGIAS AMBIENTALES
2015;35;35933;;AGENCIA AMBIENTAL
2015;35;3535;35352351;DG FERIAS Y MERCADOS
2015;35;3535;35358771;SUBS.MANT.ESP.PÚBLICO
2015;35;3535;35358834;DG DE RECICLADO
2015;35;3535;35358857;D.G. Mant.y Talleres
2015;35;3535;35352355;D.G. REGENERACION URBANA
2015;35;3535;35352356;D.G. INSP.USO ESP.PUBLICO
2015;35;3535;35352504;D. G. Sist.Pluv
2015;35;3535;35358503;MIN.AMBIENTE Y ESP PUBLI
2015;35;3535;35358729;D. G. Comunicación
2015;35;3535;35358737;DG LIMPIEZA
2015;35;3535;35358738;DG ESPACIOS VERDES
2015;35;3535;35358740;SUBSEC. DE ADMINISTRACION
2015;35;3535;35358741;DIR.GRAL. FISC. EN VÍA PÚBLICA
2015;35;3535;35358743;DIR. GRAL TRATAM. Y NUEVAS TEC
2015;35;3535;35358750;DIR.GRAL. CONTROL DE GESTION
2015;35;3535;35358779;DG ORD. ESPACIO PUBLICO
2015;35;3535;35358804;DG CEMENTERIOS
2015;35;3535;35358807;D.G.ALUMBRADO
2015;35;3535;35358837;SS HIG. URBANA
2015;35;3535;35358911;SUBS. DE USO  DEL ESP.PÚBLICO
2015;35;3535;;MIN. AMB. Y ESP. PUB
2015;35;;;MINISTERIO DE AMBIENTE Y ESPACIO PUBLICO
2015;1;11;1110;SECRETARIA ADMINISTRATIVA
2015;1;11;;LEGISLATURA CABA
2015;1;;;LEGISLATURA DE LA CIUDAD DE BUENOS AIRES
2015;5;55;5570;MINISTERIO PUBLICO
2015;5;55;;MINISTERIO PUBLICO
2015;5;;;MINISTERIO PUBLICO
2015;6;66;6650;TRIBUNAL SUPERIOR
2015;6;66;;TRIBUNAL SUPERIOR
2015;6;;;TRIBUNAL SUPERIOR DE JUSTICIA
2015;7;77;7751;CONSEJO DE LA MAGISTRATURA
2015;7;77;;CONSEJO DE LA MAGIST
2015;7;;;CONSEJO DE LA MAGISTRATURA
2015;9;99;99730;PROCURACION GENERAL
2015;9;99;;PROCURACION GENERAL
2015;9;;;PROCURACION GENERAL  DE LA CIUDAD
2015;21;2121;2121276;CUERPO AGTE CTROL TRANS.TRANS.
2015;21;2121;2121277;DIR.GRAL.DE SEGURIDAD VIAL
2015;21;2121;2121318;D.G.DE MOVILIDAD SALUDABLE
2015;21;2121;2121320;SUBSECRETARIA DE TRANSPORTE
2015;21;2121;2121323;DIR.GRAL PLANIF. MOVILIDAD
2015;21;2121;2121324;DIR.GRAL.TRANSITO Y TRANSPORTE
2015;21;2121;2121325;UPE JUEG. OLIMP JUV BS AS 2018
2015;21;2121;2121331;SUBTERRANEOS DE BUENOS AIRES
2015;21;2121;2121721;D.GRAL LICENCIAS
2015;21;2121;21212010;Subs.Der.Hum.Plur
2015;21;2121;21212013;CONS.GTION.PQUE MEMORIA
2015;21;2121;21212012;UNIDAD DE PROY ESP CONSTR CIU
2015;21;2121;21212051;JEFE DE GABINETE
2015;21;2121;21212134;SUBSEC.DE ASUNTOS PUBLICOS
2015;21;2121;21212152;SUBS.PLANEAM.Y CTROL GESTION
2015;21;2121;;JEFATURA DE GABINETE
2015;21;;;JEFATURA DE GABINETE DE MINISTROS
2015;28;2828;28282820;DIR.GRAL.PROGR.COOP.INTERJ
2015;28;2828;2828167;DIR.GRAL ASUNTOS LEG.Y ORG.CTR
2015;28;2828;28282155;SUBSECRET.DE GOBIERNO
2015;28;2828;28282180;Min.Gobierno
2015;28;2828;28282181;Subs.Asuntos Políticos
2015;28;2828;28282182;Subs.Asuntos Federales
2015;28;2828;28282801;UPE - AMBA
2015;28;2828;28282803;DG RELAC CON PROV Y MUNIC
2015;28;2828;28285000;CASAS DE LA CDAD. BS. AS
2015;28;2828;28285013;UPE ACUMAR
2015;28;2828;28289935;DIR.GRAL.REGISTRO CIVIL
2015;28;2828;;Min.Gobierno
2015;28;;;MINISTERIO DE GOBIERNO
2015;30;3030;3030300;MINISTERIO DE DESARROLLO URB
2015;30;3030;3030303;UPE-ARROYO MALDONADO
2015;30;3030;3030305;SUBS.COORDINA.Y SEGUIM,GESTION
2015;30;3030;3030306;DIR.GRAL.COORD.INSTIT.Y COM.
2015;30;3030;3030307;DIR.GRAL.PROY. URB.Y ARQ.
2015;30;3030;30308367;DIR.GRAL.DE REGISTROS
2015;30;3030;3030309;SUBS.PROY.DE URB.ARQ.E INFRAES
2015;30;3030;3030312;DIR. GRAL  OBRAS  ARQUITECTURA
2015;30;3030;3030360;UPE OBRA RED SUBTERRANEOS
2015;30;3030;3030319;UPE DISTRITO GUBERNAMENTAL
2015;30;3030;3030333;CONSEJO DEL PLAN URBANO AMBIEN
2015;30;3030;3030366;DIR.GRAL INTERPR.URBANISTICA
2015;30;3030;3030380;UPE - OBRAS V OLIMPICA Y SEDES
2015;30;3030;3030797;UN.EJECUTORA EXAU3
2015;30;3030;3030807;D.G.PLANEAMIENTO
2015;30;3030;30302301;DIR.GRAL.DE INFRAESTRUCTURA
2015;30;3030;30302303;DIR.GRAL.OBRAS DE INGENIERIA
2015;30;3030;30302502;Sec.Planeam.
2015;30;3030;;MIN.DES.URBANO
2015;30;;;MINISTERIO DE DESARROLLO URBANO
