ejercicio;finalidad;funcion;descripcion
2015;3;31;Salud
2015;3;32;Promoción y acción s
2015;3;35;Cultura
2015;3;36;Trabajo
2015;3;34;Educación
2015;3;37;Vivienda
2015;3;38;Agua potable y alcan
2015;3;;Servicios sociales
2015;4;45;Turismo
2015;4;48;Seguros y Finanzas
2015;4;46;Industria y Comercio
2015;4;44;Ecología
2015;4;49;Servicios urbanos
2015;4;43;Transporte
2015;4;;Servicios económicos
2015;1;16;Administración fisca
2015;1;13;Dirección ejecutiva
2015;1;12;Judicial
2015;1;17;Control de la gestió
2015;1;11;Legislativa
2015;1;15;Relaciones interiore
2015;1;;Administracion gubernamental
2015;5;51;Deuda pública-Intere
2015;5;;Deuda Pública
2015;9;91;Gastos no clasificad
2015;9;;No clasificados
2015;2;22;Seguridad interior
2015;2;;Servicios de defensa y seguridad
