EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;DEVENGADO
2014;010010010;11;219;11;PROGRAMAS DE COMPUTACION;3099520.87
2014;010010010;11;172;11;TRANSFERENCIAS A UNIVERSIDADES  PARA FINANCIAR GASTOS CORRIENTES;0
2014;010010010;11;132;11;SERVICIO DE VIGILANCIA;640200
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;167270.36
2014;010010010;11;132;11;PUBLICIDAD Y PROPAGANDA;55566279.88
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;0
2014;010010010;11;132;11;PASAJES;5676203.45
2014;010010010;11;132;11;VIATICOS;1585486.45
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;621591.55
2014;010010010;11;132;11;DERECHOS Y TASAS;679740.97
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;12074.5
2014;010010010;11;132;11;SERVICIOS DE CEREMONIAL;1612741.8
2014;010010010;11;132;11;PREMIOS Y RECONOCIMIENTOS;1280206.78
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;126815270.8
2014;010010010;11;214;11;EQUIPO DE COMUNICACION Y SEÑALAMIENTO;5874194.86
2014;010010010;11;214;11;EQUIPO EDUCACIONAL, CULTURAL Y RECREATIVO;343974.9
2014;010010010;11;214;11;EQUIPO PARA COMPUTACION;246320.56
2014;010010010;11;214;11;EQUIPO DE OFICINA Y MOBLAJE;5440689.82
2014;010010010;11;214;11;HERRAMIENTAS Y REPUESTOS MAYORES;5795
2014;010010010;11;214;11;EQUIPOS VARIOS;95304.08
2014;010010010;11;214;11;EQUIPO DE SEGURIDAD;0
2014;010010010;11;214;11;LIBROS, REVISTAS Y OTROS ELEMENTOS DE COLECCION;497111.9
2014;010010010;11;131;11;TINTAS, PINTURAS Y COLORANTES;712882.11
2014;010010010;11;131;11;COMBUSTIBLES Y LUBRICANTES;33365.08
2014;010010010;11;131;11;PRODUCTOS DE MATERIAL PLASTICO;271495
2014;010010010;11;131;11;PRODUCTOS DE VIDRIO;102500
2014;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10528.43
2014;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;195146.91
2014;010010010;11;131;11;PETROLEO CRUDO Y GAS NATURAL;0
2014;010010010;11;131;11;PIEDRA, ARCILLA Y ARENA;0
2014;010010010;11;131;11;ELEMENTOS DE LIMPIEZA;55609.55
2014;010010010;11;131;11;UTILES DE ESCRITORIO, OFICINA Y ENSEÑANZA;761614.16
2014;010010010;11;131;11;UTILES Y MATERIALES ELECTRICOS;218350.43
2014;010010010;11;131;11;REPUESTOS Y ACCESORIOS;79444.55
2014;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;1681584.04
2014;010010010;11;132;11;ENERGIA ELECTRICA;1559863.52
2014;010010010;11;132;11;AGUA;106969.88
2014;010010010;11;132;11;GAS;31124.83
2014;010010010;11;132;11;TELEFONOS, TELEX Y TELEFAX;678897.46
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10850
2014;010010010;11;132;11;ALQUILER DE EDIFICIOS Y LOCALES;2113775
2014;010010010;11;132;11;ALQUILER DE MAQUINARIA, EQUIPO Y MEDIOS DE TRANSPORTE;30440
2014;010010010;11;132;11;ALQUILER DE FOTOCOPIADORAS;2599081.18
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;959312.02
2014;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE EDIFICIOS Y LOCALES;6959841.36
2014;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE VEHICULOS;14943
2014;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;1861476.02
2014;010010010;11;132;11;LIMPIEZA, ASEO Y FUMIGACION;40021684.92
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2132961.53
2014;010010010;11;132;11;DE CAPACITACION;659885.6
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;80952518.46
2014;010010010;11;132;11;TRANSPORTE Y ALMACENAMIENTO;93318.64
2014;010010010;11;132;11;SERVICIOS ESPECIALIZADOS;2694475.55
2014;010010010;11;132;11;PRIMAS Y GASTOS DE SEGUROS;242608.79
2014;010010010;11;132;11;COMISIONES Y GASTOS BANCARIOS;4492.12
2014;010010010;11;132;11;SISTEMAS INFORMATICOS Y DE REGISTRO;1915777.01
2014;010010010;11;120;11;RETRIBUCION DEL CARGO;370027406
2014;010010010;11;120;11;SUELDO ANUAL COMPLEMENTARIO;31181058.88
2014;010010010;11;120;11;CONTRIBUCIONES PATRONALES;78653236.26
2014;010010010;11;120;11;RETRIBUCION DEL CARGO;307317193
2014;010010010;11;120;11;SUELDO ANUAL COMPLEMENTARIO;26075984.69
2014;010010010;11;120;11;CONTRIBUCIONES PATRONALES;66973051.74
2014;010010010;11;120;11;PERSONAL PERMANENTE;16373932.91
2014;010010010;11;131;11;ALIMENTOS PARA PERSONAS;1749339.34
2014;010010010;11;131;11;MADERA, CORCHO Y SUS MANUFACTURAS;64181.15
2014;010010010;11;131;11;PRENDAS DE VESTIR;410428.28
2014;010010010;11;131;11;PAPEL Y CARTON PARA OFICINA;44366.38
2014;010010010;11;131;11;PAPEL Y CARTON PARA COMPUTACION;751262.68
2014;010010010;11;131;11;MANUFACTURA DE PULPA, PAPEL Y CARTION;174206.26
2014;010010010;11;131;11;LIBROS, REVISTAS Y PERIODICOS;750528.84
2014;010010010;11;171;11;TRANSFERENCIAS A EMPRESAS PRIVADAS;0
2014;010010010;11;131;11;HERRAMIENTAS MENORES;7814.01
2014;010010010;11;172;11;TRANSFERENCIAS A OTRAS INSTITUCIONES PUBLICAS MUNICIPALES;0
2014;010010010;11;224;11;OBRAS DE ARTE;1887159.48
2014;010010010;11;212;11;CONSTRUCCIONES EN BIENES DE DOMINIO PRIVADO;18000000
2014;010010010;11;212;11;CONSTRUCCIONES EN BIENES DE DOMINIO PRIVADO;6650346.77
2014;020020020;17;132;11;SERV.DE ACCESO A INTERNET Y STREAMING;0
2014;020020020;17;132;11;SERVICIO DE VIGILANCIA;1213700
2014;020020020;17;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;138387.13
2014;020020020;17;132;11;PUBLICIDAD Y PROPAGANDA;156658
2014;020020020;17;132;11;PASAJES;61866.73
2014;020020020;17;132;11;VIATICOS;773247.8
2014;020020020;17;132;11;MOVILIDAD;0
2014;020020020;17;132;11;SERVICIOS DE CEREMONIAL;34050
2014;020020020;17;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;211013.18
2014;020020020;17;214;11;EQUIPO SANITARIO Y DE LABORATORIO;87804.82
2014;020020020;17;214;11;EQUIPO DE OFICINA Y MOBLAJE;462526.35
2014;020020020;17;214;11;EQUIPOS VARIOS;820
2014;020020020;17;131;11;COMBUSTIBLES Y LUBRICANTES;261075.81
2014;020020020;17;131;11;PRODUCTOS DE VIDRIO;0
2014;020020020;17;131;11;ESTRUCTURAS METALICAS ACABADAS;0
2014;020020020;17;131;11;ELEMENTOS DE LIMPIEZA;14936.4
2014;020020020;17;131;11;UTILES DE ESCRITORIO, OFICINA Y ENSEÑANZA;103427.88
2014;020020020;17;131;11;UTILES Y MATERIALES ELECTRICOS;200714.19
2014;020020020;17;131;11;UTENSILIOS DE COCINA Y COMEDOR;11375.34
2014;020020020;17;131;11;REPUESTOS Y ACCESORIOS;21083.57
2014;020020020;17;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;180
2014;020020020;17;132;11;ENERGIA ELECTRICA;224145.16
2014;020020020;17;132;11;TELEFONOS, TELEX Y TELEFAX;285474.41
2014;020020020;17;132;11;CORREOS Y TELEGRAFO;0
2014;020020020;17;132;11;ALQUILER DE EDIFICIOS Y LOCALES;4787128.08
2014;020020020;17;132;11;MANTENIMIENTO Y REPARACION DE EDIFICIOS Y LOCALES;1785259.34
2014;020020020;17;132;11;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;60965.93
2014;020020020;17;132;11;LIMPIEZA, ASEO Y FUMIGACION;1336278.6
2014;020020020;17;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;18283665.19
2014;020020020;17;132;11;TRANSPORTE Y ALMACENAMIENTO;154953.16
2014;020020020;17;132;11;SERVICIOS ESPECIALIZADOS;247734.57
2014;020020020;17;132;11;IMPRENTA, PUBLICACIONES Y REPRODUCCIONES;34571.02
2014;020020020;17;132;11;PRIMAS Y GASTOS DE SEGUROS;594831.67
2014;020020020;17;132;11;COMISIONES Y GASTOS BANCARIOS;72987.97
2014;020020020;17;132;11;SISTEMAS INFORMATICOS Y DE REGISTRO;194282
2014;020020020;17;120;11;RETRIBUCION DEL CARGO;45494589.93
2014;020020020;17;120;11;SUELDO ANUAL COMPLEMENTARIO;3787693.96
2014;020020020;17;120;11;CONTRIBUCIONES PATRONALES;10003231.13
2014;020020020;17;120;11;PERSONAL PERMANENTE;668010
2014;020020020;17;120;11;BENEFICIOS Y COMPENSACIONES SIN DISCRIMINAR;10696252.54
2014;020020020;17;131;11;ALIMENTOS PARA PERSONAS;575433.36
2014;020020020;17;131;11;MADERA, CORCHO Y SUS MANUFACTURAS;0
2014;020020020;17;131;11;PRENDAS DE VESTIR;20966.25
2014;020020020;17;131;11;PAPEL Y CARTON PARA OFICINA;0
2014;020020020;17;131;11;PAPEL Y CARTON PARA COMPUTACION;191814.4
2014;020020020;17;131;11;MANUFACTURA DE PULPA, PAPEL Y CARTION;60512.14
2014;020020020;17;131;11;LIBROS, REVISTAS Y PERIODICOS;766.25
2014;020020020;17;131;11;PRODUCTOS FARMACEUTICOS Y MEDICINALES;2977.65
2014;020020020;17;120;11;RETRIBUCION DEL SERVICIO;10467429.73
2014;020020020;17;120;11;SUELDO ANUAL COMPLEMENTARIO;922348.45
2014;020020020;17;120;11;CONTRIBUCIONES PATRONALES;1987771.07
2014;020020020;17;131;11;HERRAMIENTAS MENORES;3983.94
2014;020020020;17;132;11;MULTAS Y RECARGOS;0
2014;020020020;17;132;11;VIATICOS;347362.22
2014;020020020;17;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;57000.81
2014;020020020;17;214;11;EQUIPO SANITARIO Y DE LABORATORIO;0
2014;020020020;17;131;11;COMBUSTIBLES Y LUBRICANTES;211495.54
2014;020020020;17;131;11;ELEMENTOS DE LIMPIEZA;0
2014;020020020;17;131;11;UTILES DE ESCRITORIO, OFICINA Y ENSEÑANZA;12720.49
2014;020020020;17;131;11;UTILES Y MATERIALES ELECTRICOS;530
2014;020020020;17;132;11;TELEFONOS, TELEX Y TELEFAX;35551.83
2014;020020020;17;132;11;CONTABILIDAD Y AUDITORIA;0
2014;020020020;17;132;11;SERVICIOS ESPECIALIZADOS;60405
2014;020020020;17;132;11;IMPRENTA, PUBLICACIONES Y REPRODUCCIONES;11122.1
2014;020020020;17;120;11;RETRIBUCION DEL CARGO;25325176.24
2014;020020020;17;120;11;SUELDO ANUAL COMPLEMENTARIO;2212899.59
2014;020020020;17;120;11;CONTRIBUCIONES PATRONALES;5091030.55
2014;020020020;17;120;11;PERSONAL PERMANENTE;211190
2014;020020020;17;131;11;ALIMENTOS PARA PERSONAS;119009.48
2014;020020020;17;131;11;LIBROS, REVISTAS Y PERIODICOS;0
2014;020020020;17;131;11;PRODUCTOS FARMACEUTICOS Y MEDICINALES;0
2014;020020020;17;120;11;RETRIBUCION DEL SERVICIO;430508.63
2014;020020020;17;120;11;SUELDO ANUAL COMPLEMENTARIO;36750
2014;020020020;17;120;11;CONTRIBUCIONES PATRONALES;84029.99
2014;020020020;17;219;11;PROGRAMAS DE COMPUTACION;0
2014;020020020;17;132;11;VIATICOS;1173155.01
2014;020020020;17;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;209773.31
2014;020020020;17;214;11;EQUIPO PARA COMPUTACION;0
2014;020020020;17;131;11;COMBUSTIBLES Y LUBRICANTES;466326.7
