ejercicio;finalidad;funcion;descripcion
2014;1;11;LEGISLATIVA
2014;1;17;CONTROL DE LA GESTION
2014;1;12;JUDICIAL
2014;1;13;DIRECCION EJECUTIVA
2014;1;15;RELACIONES INTERIORES
2014;1;16;ADMINISTRACION FISCAL
2014;1;;ADMINISTRACION GUBERNAMENTAL
2014;4;43;TRANSPORTE
2014;4;44;ECOLOGIA
2014;4;49;SERVICIOS URBANOS
2014;4;46;INDUSTRIA Y COMERCIO
2014;4;48;SEGUROS Y FINANZAS
2014;4;45;TURISMO
2014;4;;SERVICIOS ECONOMICOS
2014;3;32;PROMOCION Y ACCION SOCIAL
2014;3;35;CULTURA
2014;3;31;SALUD
2014;3;38;AGUA POTABLE Y ALCANTARILLADO
2014;3;37;VIVIENDA
2014;3;36;TRABAJO
2014;3;34;EDUCACION
2014;3;;SERVICIOS SOCIALES
2014;2;22;SEGURIDAD INTERIOR
2014;2;;SERVICIOS DE SEGURIDAD
2014;5;51;DEUDA PUBLICA – INTERESES Y GASTOS
2014;5;;DEUDA PUBLICA – INTERESES Y GASTOS
