ejercicio;chapter;article;heading;description;gasto/ingreso
2015;21;;;Gastos corrientes;G
2015;21;211;;Gastos de operación de Empresas y Sociedades del Estado;G
2015;21;211;2110;Gastos de operación de Empresas y Sociedades del Estado;G
2015;21;211;2111;Remuneraciones;G
2015;21;211;2112;Bienes y Servicios;G
2015;21;211;2113;Impuestos indirectos;G
2015;21;211;2114;Depreciación y amortización;G
2015;21;211;2115;Previsiones;G
2015;21;211;2116;Variación de existencias;G
2015;21;211;2117;Descuentos y bonificaciones;G
2015;21;211;2118;Intereses de instituciones financieras;G
2015;21;212;;Remuneraciones al personal;G
2015;21;212;2120;Remuneraciones al personal;G
2015;21;213;;Gastos de consumo;G
2015;21;213;2130;Gastos de consumo;G
2015;21;213;2131;Bienes de Consumo;G
2015;21;213;2132;Servicios no Personales;G
2015;21;213;2133;Impuestos indirectos;G
2015;21;213;2134;Depreciación y amortización;G
2015;21;213;2135;Previsiones y reservas técnicas;G
2015;21;213;2136;Variación de existencias;G
2015;21;214;;Rentas de la propiedad;G
2015;21;214;2140;Rentas de la propiedad;G
2015;21;214;2141;Intereses;G
2015;21;214;2142;Arrendamientos de tierras y terrenos;G
2015;21;214;2143;Derechos sobre bienes intangibles;G
2015;21;215;;Impuestos directos;G
2015;21;215;2150;Impuestos directos;G
2015;21;216;;Otras pérdidas;G
2015;21;216;2160;Otras pérdidas;G
2015;21;217;;Transferencias corrientes;G
2015;21;217;2170;Transferencias corrientes;G
2015;21;217;2171;Al sector privado;G
2015;21;217;2172;Al sector público;G
2015;21;217;2173;Al sector externo;G
2015;21;218;;Gastos figurativos para transacciones corrientes;G
2015;21;218;2180;Gastos figurativos para transacciones corrientes;G
2015;21;219;;Crédito adicional para gastos corrientes;G
2015;21;219;2190;Crédito adicional para gastos corrientes;G
2015;22;;;Gastos de capital;G
2015;22;220;;Gastos de capital;G
2015;22;220;2200;Gastos de capital;G
2015;22;221;;Inversión real directa por terceros;G
2015;22;221;2210;Inversión real directa por terceros;G
2015;22;221;2211;Edificios e instalaciones;G
2015;22;221;2212;Construcciones del dominio privado;G
2015;22;221;2213;Construcciones del dominio público;G
2015;22;221;2214;Maquinaria y equipo;G
2015;22;221;2217;Incremento de existencias;G
2015;22;221;2218;Tierras y terrenos;G
2015;22;221;2219;Activos intangibles;G
2015;22;222;;Inversión real directa por producción propia;G
2015;22;222;2220;Inversión real directa por producción propia;G
2015;22;222;2221;Remuneraciones;G
2015;22;222;2222;Bienes de Consumo;G
2015;22;222;2223;Servicios no personales;G
2015;22;222;2224;Bienes de Uso;G
2015;22;222;2225;Transferencias;G
2015;22;222;2226;Activos Financieros;G
2015;22;222;2228;Otros Gastos;G
