EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;SANCIONADO
2016;010010010;11;120;11;RETRIBUCION DEL CARGO;561039655
2016;010010010;11;120;11;SUELDO ANUAL COMPLEMENTARIO;46409932
2016;010010010;11;120;11;CONTRIBUCIONES PATRONALES;126026162
2016;010010010;11;120;11;RETRIBUCION DEL CARGO;471022429
2016;010010010;11;120;11;SUELDO ANUAL COMPLEMENTARIO;39055788
2016;010010010;11;120;11;CONTRIBUCIONES PATRONALES;101974412
2016;010010010;11;120;11;PERSONAL PERMANENTE;16530087
2016;010010010;11;120;11;BENEFICIOS Y COMPENSACIONES SIN DISCRIMINAR;12000000
2016;010010010;11;131;11;ALIMENTOS PARA PERSONAS;2500250
2016;010010010;11;131;11;MADERA, CORCHO Y SUS MANUFACTURAS;1230000
2016;010010010;11;131;11;PRENDAS DE VESTIR;2590000
2016;010010010;11;131;11;PAPEL Y CARTON PARA OFICINA;1230000
2016;010010010;11;131;11;PAPEL Y CARTON PARA COMPUTACION;2580000
2016;010010010;11;131;11;MANUFACTURA DE PULPA, PAPEL Y CARTION;2420000
2016;010010010;11;131;11;LIBROS, REVISTAS Y PERIODICOS;2480000
2016;010010010;11;131;11;TINTAS, PINTURAS Y COLORANTES;2590000
2016;010010010;11;131;11;COMBUSTIBLES Y LUBRICANTES;2480000
2016;010010010;11;131;11;PRODUCTOS DE MATERIAL PLASTICO;2720000
2016;010010010;11;131;11;PRODUCTOS DE VIDRIO;1150000
2016;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;1200000
2016;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;3690000
2016;010010010;11;131;11;PETROLEO CRUDO Y GAS NATURAL;1230000
2016;010010010;11;131;11;PIEDRA, ARCILLA Y ARENA;1150000
2016;010010010;11;131;11;ELEMENTOS DE LIMPIEZA;2480000
2016;010010010;11;131;11;UTILES DE ESCRITORIO, OFICINA Y ENSEÑANZA;2450000
2016;010010010;11;131;11;UTILES Y MATERIALES ELECTRICOS;2320000
2016;010010010;11;131;11;REPUESTOS Y ACCESORIOS;2370000
2016;010010010;11;131;11;HERRAMIENTAS MENORES;2624000
2016;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;84180000
2016;010010010;11;132;11;ENERGIA ELECTRICA;2300000
2016;010010010;11;132;11;AGUA;280000
2016;010010010;11;132;11;GAS;900600
2016;010010010;11;132;11;TELEFONOS, TELEX Y TELEFAX;3200000
2016;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2800000
2016;010010010;11;132;11;ALQUILER DE EDIFICIOS Y LOCALES;3453116
2016;010010010;11;132;11;ALQUILER DE MAQUINARIA, EQUIPO Y MEDIOS DE TRANSPORTE;329000
2016;010010010;11;132;11;ALQUILER DE FOTOCOPIADORAS;8324403
2016;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10100000
2016;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE EDIFICIOS Y LOCALES;4000000
2016;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE VEHICULOS;1080000
